ID,文物类型,文物ID,mapping_id,关系谓词,属性值,置信度,created_at
14046,jade,1668,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14047,jade,1668,86,P65 shows visual item(展示视觉项),无纹饰,0.8,2025-12-01 23:31:08
14048,jade,1669,91,$P43\text{ has measurement}$,"{'length': 11.9, 'diameter': 0.9} | ",0.8,2025-12-01 23:31:08
14049,jade,1669,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14050,jade,1669,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14051,jade,1669,89,P44 has condition(有状态),有褐色瑕斑,0.8,2025-12-01 23:31:08
14052,jade,1669,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:08
14053,jade,1669,90,P1\text{ is identified by},M10:5-4,0.8,2025-12-01 23:31:08
14054,jade,1669,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14055,jade,1669,98,P46 is composed of,长条形，一端锥尖，另一端略扁并对钻孔,0.8,2025-12-01 23:31:08
14056,jade,1670,91,$P43\text{ has measurement}$,"{'length': 11.8, 'diameter': 0.8} | ",0.8,2025-12-01 23:31:08
14057,jade,1670,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14058,jade,1670,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14059,jade,1670,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:08
14060,jade,1670,90,P1\text{ is identified by},M10:5-5,0.8,2025-12-01 23:31:08
14061,jade,1670,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14062,jade,1670,98,P46 is composed of,长条形，一端锥尖，另一端略扁并对钻孔,0.8,2025-12-01 23:31:08
14063,jade,1671,91,$P43\text{ has measurement}$,"{'length': 12, 'diameter': 0.9} | ",0.8,2025-12-01 23:31:08
14064,jade,1671,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14065,jade,1671,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14066,jade,1671,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:08
14067,jade,1671,90,P1\text{ is identified by},M10:5-6,0.8,2025-12-01 23:31:08
14068,jade,1671,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14069,jade,1671,98,P46 is composed of,长条形，一端锥尖，另一端略扁并对钻孔,0.8,2025-12-01 23:31:08
14070,jade,1672,91,$P43\text{ has measurement}$,"{'length': 11.9, 'diameter': 0.8} | ",0.8,2025-12-01 23:31:08
14071,jade,1672,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14072,jade,1672,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14073,jade,1672,89,P44 has condition(有状态),有褐色瑕疵,0.8,2025-12-01 23:31:08
14074,jade,1672,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:08
14075,jade,1672,90,P1\text{ is identified by},M10:5-7,0.8,2025-12-01 23:31:08
14076,jade,1672,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14077,jade,1672,98,P46 is composed of,长条形，一端锥尖，另一端扁圆并对钻孔,0.8,2025-12-01 23:31:08
14078,jade,1673,91,$P43\text{ has measurement}$,"{'length': 11.8, 'diameter': 0.8} | ",0.8,2025-12-01 23:31:08
14079,jade,1673,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14080,jade,1673,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14081,jade,1673,89,P44 has condition(有状态),有灰色筋斑,0.8,2025-12-01 23:31:08
14082,jade,1673,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:08
14083,jade,1673,90,P1\text{ is identified by},M10:5-8,0.8,2025-12-01 23:31:08
14084,jade,1673,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14085,jade,1673,98,P46 is composed of,长条形，一端锥尖，另一端略扁并对钻孔,0.8,2025-12-01 23:31:08
14086,jade,1674,91,$P43\text{ has measurement}$,"{'length': 11.8, 'diameter': 0.8} | ",0.8,2025-12-01 23:31:08
14087,jade,1674,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14088,jade,1674,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14089,jade,1674,87,P108i was produced by(被生产于),对钻孔，下端留有直向的切割痕,0.8,2025-12-01 23:31:08
14090,jade,1674,90,P1\text{ is identified by},M10:5-9,0.8,2025-12-01 23:31:08
14091,jade,1674,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14092,jade,1674,98,P46 is composed of,长条形，一端锥尖，另一端略扁并对钻孔,0.8,2025-12-01 23:31:08
14093,jade,1675,91,$P43\text{ has measurement}$,"{'length': 11.6, 'diameter': 0.8} | ",0.8,2025-12-01 23:31:08
14094,jade,1675,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14095,jade,1675,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14096,jade,1675,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:08
14097,jade,1675,90,P1\text{ is identified by},M10:5-10,0.8,2025-12-01 23:31:08
14098,jade,1675,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14099,jade,1675,98,P46 is composed of,长条形，一端锥尖，另一端略扁并对钻孔,0.8,2025-12-01 23:31:08
14100,jade,1676,91,$P43\text{ has measurement}$,"{'length': 11.7, 'diameter': 0.7} | ",0.8,2025-12-01 23:31:08
14101,jade,1676,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14102,jade,1676,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14103,jade,1676,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:08
14104,jade,1676,90,P1\text{ is identified by},M10:5-11,0.8,2025-12-01 23:31:08
14105,jade,1676,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14106,jade,1676,98,P46 is composed of,长条形，一端锥尖，另一端略扁并对钻孔,0.8,2025-12-01 23:31:08
14107,jade,1677,91,$P43\text{ has measurement}$,"{'height': 2.05, 'diameter': 4.3, 'hole_diameter': 1.2} | ",0.8,2025-12-01 23:31:08
14108,jade,1677,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14109,jade,1677,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14110,jade,1677,87,P108i was produced by(被生产于),中间对钻孔，孔壁略弧凸，一端面有弧线状切割痕,0.8,2025-12-01 23:31:08
14111,jade,1677,90,P1\text{ is identified by},M10:17,0.8,2025-12-01 23:31:08
14112,jade,1677,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14113,jade,1677,98,P46 is composed of,圆柱形，中间对钻孔，孔壁略弧凸,0.8,2025-12-01 23:31:08
14114,jade,1678,91,$P43\text{ has measurement}$,"{'height': 6.95, 'diameter': 4, 'hole_diameter': 1.1} | ",0.8,2025-12-01 23:31:08
14115,jade,1678,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14116,jade,1678,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14117,jade,1678,89,P44 has condition(有状态),一端有褐色瑕疵,0.8,2025-12-01 23:31:08
14118,jade,1678,87,P108i was produced by(被生产于),中间对钻孔，孔壁经打磨,0.8,2025-12-01 23:31:08
14119,jade,1678,90,P1\text{ is identified by},M10:23,0.8,2025-12-01 23:31:08
14120,jade,1678,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14121,jade,1678,98,P46 is composed of,圆柱形，中间对钻孔，孔壁经打磨,0.8,2025-12-01 23:31:08
14122,jade,1679,91,$P43\text{ has measurement}$,"{'height': 2, 'diameter': 4.2, 'hole_diameter': 2.1} | ",0.8,2025-12-01 23:31:08
14123,jade,1679,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14124,jade,1679,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14125,jade,1679,89,P44 has condition(有状态),有灰色斑斑,0.8,2025-12-01 23:31:08
14126,jade,1679,87,P108i was produced by(被生产于),中间对钻孔，并留有台痕，两端面有弧线状切割痕，中孔壁有不甚明显的直向线痕,0.8,2025-12-01 23:31:08
14127,jade,1679,90,P1\text{ is identified by},M10:32,0.8,2025-12-01 23:31:08
14128,jade,1679,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14129,jade,1679,98,P46 is composed of,圆柱形，中间对钻孔，并留有台痕,0.8,2025-12-01 23:31:08
14130,jade,1680,91,$P43\text{ has measurement}$,"{'height': 5.4, 'diameter': 4.3, 'hole_diameter': 0.9} | ",0.8,2025-12-01 23:31:08
14131,jade,1680,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14132,jade,1680,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14133,jade,1680,87,P108i was produced by(被生产于),中间对钻一小孔，孔内经打磨，外壁微内凹，一端面有弧线状切割痕,0.8,2025-12-01 23:31:08
14134,jade,1680,90,P1\text{ is identified by},M10:33,0.8,2025-12-01 23:31:08
14135,jade,1680,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14136,jade,1680,98,P46 is composed of,圆柱形，中间对钻一小孔，孔内经打磨，外壁微内凹,0.8,2025-12-01 23:31:08
14137,jade,1681,91,$P43\text{ has measurement}$,"{'height': 1.9, 'diameter': 4.4, 'hole_diameter': 1.8} | ",0.8,2025-12-01 23:31:08
14138,jade,1681,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14139,jade,1681,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14140,jade,1681,89,P44 has condition(有状态),有灰色斑斑,0.8,2025-12-01 23:31:08
14141,jade,1681,87,P108i was produced by(被生产于),中间对钻圆孔，外壁略内凹，两端面有弧线状切割痕,0.8,2025-12-01 23:31:08
14142,jade,1681,90,P1\text{ is identified by},M10:34,0.8,2025-12-01 23:31:08
14143,jade,1681,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14144,jade,1681,98,P46 is composed of,圆柱形，中间对钻圆孔，外壁略内凹,0.8,2025-12-01 23:31:08
14145,jade,1682,91,$P43\text{ has measurement}$,"{'height': 1.85, 'diameter': 4.3, 'hole_diameter': 1.4} | ",0.8,2025-12-01 23:31:08
14146,jade,1682,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14147,jade,1682,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14148,jade,1682,89,P44 has condition(有状态),有灰褐色瑕斑,0.8,2025-12-01 23:31:08
14149,jade,1682,87,P108i was produced by(被生产于),中间对钻孔，孔壁留有旋痕,0.8,2025-12-01 23:31:08
14150,jade,1682,90,P1\text{ is identified by},M10:38,0.8,2025-12-01 23:31:08
14151,jade,1682,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14152,jade,1682,98,P46 is composed of,圆柱形，中间对钻孔，孔壁留有旋痕,0.8,2025-12-01 23:31:08
14153,jade,1683,91,$P43\text{ has measurement}$,"{'height': 1.75, 'diameter': 4.2, 'hole_diameter': 1.4} | ",0.8,2025-12-01 23:31:08
14154,jade,1683,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14155,jade,1683,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14156,jade,1683,89,P44 has condition(有状态),有灰褐色瑕疵,0.8,2025-12-01 23:31:08
14157,jade,1683,87,P108i was produced by(被生产于),中间对钻孔，孔壁留有旋痕,0.8,2025-12-01 23:31:08
14158,jade,1683,90,P1\text{ is identified by},M10:90,0.8,2025-12-01 23:31:08
14159,jade,1683,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14160,jade,1683,98,P46 is composed of,圆柱形，中间对钻孔，孔壁留有旋痕,0.8,2025-12-01 23:31:08
14161,jade,1684,91,$P43\text{ has measurement}$,"长10.2、直径1.6、孔径0.8厘米 | {'length': 10.2, 'diameter': 1.6, 'hole_diameter': 0.8} | ",0.8,2025-12-01 23:31:08
14162,jade,1684,85,P2 has type(有类型),长管,0.8,2025-12-01 23:31:08
14163,jade,1684,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14164,jade,1684,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14165,jade,1684,87,P108i was produced by(被生产于),对钻孔，孔略偏。器表有开料留下的缺损，但经过打磨,0.8,2025-12-01 23:31:08
14166,jade,1684,90,P1\text{ is identified by},M10:37,0.8,2025-12-01 23:31:08
14167,jade,1684,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14168,jade,1684,98,P46 is composed of,圆柱形,0.8,2025-12-01 23:31:08
14169,jade,1685,91,$P43\text{ has measurement}$,"长8、直径1.8厘米 | {'length': 5.5, 'diameter': 1.9, 'hole_diameter_min': 0.5, 'hole_diameter_max': 0.9} | ",0.8,2025-12-01 23:31:08
14170,jade,1685,85,P2 has type(有类型),长管,0.8,2025-12-01 23:31:08
14171,jade,1685,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14172,jade,1685,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14173,jade,1685,87,P108i was produced by(被生产于),对钻孔。两端面有弧线状切割痕,0.8,2025-12-01 23:31:08
14174,jade,1685,90,P1\text{ is identified by},M10:53,0.8,2025-12-01 23:31:08
14175,jade,1685,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14176,jade,1685,98,P46 is composed of,三形容,0.8,2025-12-01 23:31:08
14177,jade,1686,91,$P43\text{ has measurement}$,"{'height': 4.2, 'diameter': 7.35, 'hole_diameter': 6.4} | ",0.8,2025-12-01 23:31:08
14178,jade,1686,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14179,jade,1686,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14180,jade,1686,87,P108i was produced by(被生产于),器体扁薄，外壁直，内孔壁微凸。制作较为精致,0.8,2025-12-01 23:31:08
14181,jade,1686,90,P1\text{ is identified by},M10:26,0.8,2025-12-01 23:31:08
14182,jade,1686,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14183,jade,1687,91,$P43\text{ has measurement}$,"{'height': 3.7, 'diameter': 8.2, 'hole_diameter': 6.5} | ",0.8,2025-12-01 23:31:08
14184,jade,1687,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14185,jade,1687,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14186,jade,1687,87,P108i was produced by(被生产于),内孔壁弧凸，外壁微内凹,0.8,2025-12-01 23:31:08
14187,jade,1687,90,P1\text{ is identified by},M10:27,0.8,2025-12-01 23:31:08
14188,jade,1687,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14189,jade,1688,91,$P43\text{ has measurement}$,"{'height': 2.3, 'diameter': 8.8, 'hole_diameter': 6.6} | ",0.8,2025-12-01 23:31:08
14190,jade,1688,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14191,jade,1688,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14192,jade,1688,87,P108i was produced by(被生产于),内孔壁弧凸，有横向的切割线痕,0.8,2025-12-01 23:31:08
14193,jade,1688,90,P1\text{ is identified by},M10:28,0.8,2025-12-01 23:31:08
14194,jade,1688,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14195,jade,1689,91,$P43\text{ has measurement}$,"{'height_min': 1.7, 'height_max': 2.2, 'diameter': 9.3, 'hole_diameter': 6.3} | ",0.8,2025-12-01 23:31:08
14196,jade,1689,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14197,jade,1689,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14198,jade,1689,87,P108i was produced by(被生产于),"内孔壁微弧凸, 外壁圆凸",0.8,2025-12-01 23:31:08
14199,jade,1689,90,P1\text{ is identified by},M10:29,0.8,2025-12-01 23:31:08
14200,jade,1689,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14201,jade,1690,91,$P43\text{ has measurement}$,"{'height': 2.75, 'diameter': 8.1, 'hole_diameter': 6.1} | ",0.8,2025-12-01 23:31:08
14202,jade,1690,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14203,jade,1690,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14204,jade,1690,87,P108i was produced by(被生产于),内孔壁略弧凸，外壁微内凹,0.8,2025-12-01 23:31:08
14205,jade,1690,90,P1\text{ is identified by},M10:30,0.8,2025-12-01 23:31:08
14206,jade,1690,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14207,jade,1691,91,$P43\text{ has measurement}$,"{'height': 0.9, 'diameter': 10.1, 'hole_diameter': 9.1} | ",0.8,2025-12-01 23:31:08
14208,jade,1691,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14209,jade,1691,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14210,jade,1691,87,P108i was produced by(被生产于),对钻孔而使内壁尖凸,0.8,2025-12-01 23:31:08
14211,jade,1691,90,P1\text{ is identified by},M10:31,0.8,2025-12-01 23:31:08
14212,jade,1691,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14213,jade,1692,91,$P43\text{ has measurement}$,"{'height': 2.9, 'diameter': 4.5} | ",0.8,2025-12-01 23:31:08
14214,jade,1692,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14215,jade,1692,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14216,jade,1692,87,P108i was produced by(被生产于),槽内用2个实心钻钻孔形成椭圆形孔，孔内壁留有旋痕，槽口内有横向与直向的线痕,0.8,2025-12-01 23:31:08
14217,jade,1692,90,P1\text{ is identified by},M10:18,0.8,2025-12-01 23:31:08
14218,jade,1692,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14219,jade,1693,91,$P43\text{ has measurement}$,"{'height': 2.25, 'diameter_top': 3.85, 'diameter_bottom': 3.6} | ",0.8,2025-12-01 23:31:08
14220,jade,1693,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14221,jade,1693,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14222,jade,1693,87,P108i was produced by(被生产于),弧凸面端的中孔填一小圆片，厚约0.4厘米。平端面有弧线状切割痕,0.8,2025-12-01 23:31:08
14223,jade,1693,90,P1\text{ is identified by},M10:24,0.8,2025-12-01 23:31:08
14224,jade,1693,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14225,jade,1694,91,$P43\text{ has measurement}$,"{'height': 2.3, 'width': 4.05, 'thickness': 0.4} | ",0.8,2025-12-01 23:31:08
14226,jade,1694,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14227,jade,1694,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14228,jade,1694,87,P108i was produced by(被生产于),顶端有切割痕,0.8,2025-12-01 23:31:08
14229,jade,1694,90,P1\text{ is identified by},M10:99,0.8,2025-12-01 23:31:08
14230,jade,1694,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:08
14231,jade,1694,98,P46 is composed of,形状同M10:45,0.8,2025-12-01 23:31:08
14232,jade,1695,91,$P43\text{ has measurement}$,"{'length': 3.6, 'diameter': 1.3, 'hole_diameter': 0.7} | ",0.8,2025-12-01 23:31:08
14233,jade,1695,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14234,jade,1695,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14235,jade,1695,87,P108i was produced by(被生产于),钻孔技术,0.8,2025-12-01 23:31:08
14236,jade,1695,90,P1\text{ is identified by},M10:67,0.8,2025-12-01 23:31:08
14237,jade,1695,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:08
14238,jade,1695,98,P46 is composed of,圆柱形，形似枪弹。顶端呈圆台状,0.8,2025-12-01 23:31:08
14239,jade,1696,91,$P43\text{ has measurement}$,"{'length': 3.6, 'diameter': 1.3, 'hole_diameter': 0.7} | ",0.8,2025-12-01 23:31:08
14240,jade,1696,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14241,jade,1696,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14242,jade,1696,87,P108i was produced by(被生产于),钻孔技术,0.8,2025-12-01 23:31:08
14243,jade,1696,90,P1\text{ is identified by},M10:70,0.8,2025-12-01 23:31:08
14244,jade,1696,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:08
14245,jade,1696,98,P46 is composed of,形状、大小同M10:67,0.8,2025-12-01 23:31:08
14246,jade,1697,91,$P43\text{ has measurement}$,"{'height': 0.8, 'diameter': 2.6, 'hole_diameter': 1.85} | ",0.8,2025-12-01 23:31:08
14247,jade,1697,92,P53 has former or current location,瑶山十号墓,0.8,2025-12-01 23:31:08
14248,jade,1697,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14249,jade,1697,87,P108i was produced by(被生产于),钻孔技术,0.8,2025-12-01 23:31:08
14250,jade,1697,90,P1\text{ is identified by},M10:22,0.8,2025-12-01 23:31:08
14251,jade,1697,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:08
14252,jade,1697,98,P46 is composed of,外形呈圆台状。外壁斜直，内壁略弧凸,0.8,2025-12-01 23:31:08
14253,jade,1698,91,$P43\text{ has measurement}$,"{'length_min': 2.3, 'length_max': 4.4, 'diameter_min': 1, 'diameter_max': 1.5} | ",0.8,2025-12-01 23:31:08
14254,jade,1698,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:08
14255,jade,1698,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:08
14256,jade,1698,87,P108i was produced by(被生产于),钻孔技术、切割与成型,0.8,2025-12-01 23:31:08
14257,jade,1698,90,P1\text{ is identified by},M10:49,0.8,2025-12-01 23:31:08
14258,jade,1698,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:08
14259,jade,1698,98,P46 is composed of,由18件单件组成，长短不一。多为圆柱形，个别呈圆角三角形,0.8,2025-12-01 23:31:08
14260,jade,1699,91,$P43\text{ has measurement}$,"{'length_min': 0.8, 'length_max': 1.3, 'diameter_min': 0.6, 'diameter_max': 0.7} | ",0.8,2025-12-01 23:31:09
14261,jade,1699,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:09
14262,jade,1699,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:09
14263,jade,1699,87,P108i was produced by(被生产于),钻孔技术,0.8,2025-12-01 23:31:09
14264,jade,1699,90,P1\text{ is identified by},M10:61,0.8,2025-12-01 23:31:09
14265,jade,1699,99,P103 was intended for (被意图用于),装饰,0.8,2025-12-01 23:31:09
14266,jade,1699,98,P46 is composed of,由14件单件组成，长短不一。圆柱形,0.8,2025-12-01 23:31:09
14267,jade,1700,91,$P43\text{ has measurement}$,"{'length': '1.8 cm', 'diameter': '1.95 cm', 'hole_diameter': '0.95 cm'} | ",0.8,2025-12-01 23:31:09
14268,jade,1700,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:09
14269,jade,1700,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:09
14270,jade,1700,87,P108i was produced by(被生产于),对钻孔经过打磨，两端孔壁斜向并内凹,0.8,2025-12-01 23:31:09
14271,jade,1700,90,P1\text{ is identified by},M10:36,0.8,2025-12-01 23:31:09
14272,jade,1700,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:09
14273,jade,1701,91,$P43\text{ has measurement}$,"{'length': '3.6 cm', 'diameter': '1.4 cm', 'hole_diameter': '0.6 cm'} | ",0.8,2025-12-01 23:31:09
14274,jade,1701,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:09
14275,jade,1701,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:09
14276,jade,1701,87,P108i was produced by(被生产于),对钻孔。器表有2道弧线状切割痕,0.8,2025-12-01 23:31:09
14277,jade,1701,90,P1\text{ is identified by},M10:39,0.8,2025-12-01 23:31:09
14278,jade,1701,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:09
14279,jade,1702,91,$P43\text{ has measurement}$,"{'length': '3.6 cm', 'diameter': '1.4 cm', 'hole_diameter': '0.6 cm'} | ",0.8,2025-12-01 23:31:09
14280,jade,1702,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:09
14281,jade,1702,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:09
14282,jade,1702,87,P108i was produced by(被生产于),对钻孔,0.8,2025-12-01 23:31:09
14283,jade,1702,90,P1\text{ is identified by},M10:40,0.8,2025-12-01 23:31:09
14284,jade,1702,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:09
14285,jade,1703,91,$P43\text{ has measurement}$,"{'length': '1.8 cm', 'diameter': '1 cm', 'hole_diameter': '0.5 cm'} | ",0.8,2025-12-01 23:31:09
14286,jade,1703,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:09
14287,jade,1703,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:09
14288,jade,1703,87,P108i was produced by(被生产于),对钻孔。器表有切割痕,0.8,2025-12-01 23:31:09
14289,jade,1703,90,P1\text{ is identified by},M10:41,0.8,2025-12-01 23:31:09
14290,jade,1703,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:09
14291,jade,1704,91,$P43\text{ has measurement}$,"{'length': '2.75, 2.85 cm', 'diameter': '1.6 cm', 'hole_diameter': '0.5 cm'} | ",0.8,2025-12-01 23:31:09
14292,jade,1704,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:09
14293,jade,1704,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:09
14294,jade,1704,87,P108i was produced by(被生产于),对钻孔。其中一件的器表及端面上有弧线状切割痕,0.8,2025-12-01 23:31:09
14295,jade,1704,90,P1\text{ is identified by},M10:51,0.8,2025-12-01 23:31:09
14296,jade,1704,99,P103 was intended for (被意图用于),佩饰,0.8,2025-12-01 23:31:09
14297,jade,1705,91,$P43\text{ has measurement}$,"{'length': '1.5 cm', 'diameter': '2.1 cm', 'hole_diameter': '1.1 cm'} | ",0.8,2025-12-01 23:31:09
14298,jade,1705,92,P53 has former or current location,瑶山十二号墓,0.8,2025-12-01 23:31:09
14299,jade,1705,88,P45 consists o(由...构成)f,透闪石软玉,0.8,2025-12-01 23:31:09
14300,jade,1705,87,P108i was produced by(被生产于),对钻孔，孔内留有钻孔台痕,0.8,2025-12-01 23:31:09
