文物类型,"文化特征单元 CAU
（Culture Attributes Unit）",CAU ID,文化特征单元定义（CAU Definition）,一级指标,二级指标,三级指标,值类型,索引/主键,抽取值字典/定义,原文描述/术语示例,原文描述转写示例,同义词示例,,,,
,,,,表面致密与光泽提升（Surface Compaction & Luster）,\,\,唯一值,,"FTQ201：磨光（Abrasive polishing）：a、磨光
FTQ202： 抛光/压光（Burnishing）：a、抛压（若以光泽为主；与 FTQ103-a共享方法，功能不同）

说明：抛压既可服务于 FTQ1（形态）也可服务于 FTQ2（光泽），以功能主导判定。",,,,,,,
,,,,表面纹饰与信息添加（Surface Marking & Decoration）,\,\,唯一值,,"FTQ301： 拍印（Impressed decoration）：a、拍印
FTQ302： 刻划（Incision & engraving）：a、刻划修整
",,,,,,,
,,,,表面覆层与质地改性（Surface Coating & Texture Modification）,\,\,唯一值,,"FTQ401： 涂覆泥衣（Slip coating）：a、涂泥衣
待补充
",,,,,,,
,,,,烧成相关表面处理（Firing-related Surface Treatment）,\,\,唯一值,,"FTQ501： 施釉（Glazing）：a、施釉
",,,,,,,
,,,,缺陷修复与容错（Pre-firing repair & defect management）,\,\,唯一值,,"FTQ601： 烧前修补：a、 烧前修补（Pre-firing repair）
",,,,,,,
,,,,修正强度（post_forming_intensity）,\,\,唯一值,,"I1：局部/轻微（low）
I2：系统但不完全（medium）
I3：全器系统修正（high）
I4：其他
I5：未知（unknown)",,,,,,,
,装饰手法,Decoration Technique,施加纹饰的动作或技术方式,装饰阶段 Decorative Stage,\,\,唯一值,,"DS1	：塑性阶段装饰（未完全干燥）Plastic-stage decoration	
DS2	：半干阶段装饰Leather-hard decoration	
DS3	：干燥阶段装饰Dry-stage decoration	
DS4	：烧前表面处理Pre-firing surface treatment	
DS5	：烧后装饰Post-firing decoration
D36：其他（other)
DS7：未知（NULL)	",刻划、拍印、戳点、彩绘、贴饰、镂空、堆纹、压印、刺戳、绳纹等,,,,,,
,,,,装饰机理大类 Decorative Mechanism,\,\,属性族,,"DM1	：减材型Subtractive (incised)	
DM2	：加材型Additive (applied)	
DM3	：压印型Impressed	
DM4	：表面涂覆与着色Surface coating & coloring	
DM5	：表面物理改性Surface modification	
DM6	：穿孔型Perforation	
DM7：其他（other)
DM8：未知（NULL)	",,,,,,,
,,,,,DM1 减材型（Subtractive）,\,多值,,"DF101：刻划	Incising	
DF102	：梳划Combing	
DF103	：刮削装饰Scraping	
其他：填入实际值
未知：null	",,,,,,,
,,,,,DM2 加材型（Additive）,\,多值,,"DF201	：贴塑 / 堆贴Appliqué	
DF202：模印浮雕	Molded relief
其他：填入实际值
未知：null	",,,,,,,
,,,,,DM3 压印型（Impressed）,\,多值,,"DF301：戳印 / 压印	Stamping	
DF302：拍印Paddle-impressed	
DF303	：绳纹Cord-marking	
DF304	：编织物印痕Textile impression	
其他：填入实际值
未知：null",,,,,,,
,,,,,DM4 涂覆与着色,\,多值,,"DF401	：施化妆土 / 涂层Slip coating	
DF402：彩绘 / 涂绘	Painting	
DF403	：涂染Wash / coating	
其他：填入实际值
未知：null",,,,,,,
,,,,,DM5 表面物理改性（Surface modification）,\,多值,,"DF501：磨光	Burnishing	
DF502：抛光	Polishing	
DF503：表面整饰	Texturing	
其他：填入实际值
未知：null",,,,,,,
,,,,,DM6 穿孔型（Perforation）,\,多值,,"DF601：点刺	Punctation	
DF602	：穿孔Piercing	
其他：填入实际值
未知：null",,,,,,,
,,,,,DM7：其他（other),\,文本,,原文描述,,,,,,,
,,,,,DM8：未知（NULL),\,文本,,填入无相关内容,,,,,,,
,纹饰类型,DecorativeMotifType,纹样样式的分类体系和具体团，是形态识别与文化分析关键,纹饰呈现方式Motif Medium,\,\,多值,,"MM1：立体/塑性纹（凸起、贴饰、浮雕）Plastic relief (3D)
MM2：线刻/凹刻纹（刻划、雀刻、划纹）Incised/engraved (2D)
MM3：压印/拍印纹（印纹、绳纹、篮纹）Impressed (2D/low relief)	
MM4：彩绘纹Painted (color)	
MM5：镂孔/透孔纹Pierced (perforated)
其他：填入实际值
未知：null",弦纹、篮纹、旋纹、符号纹、镂孔纹、附加纹、绳纹、划纹、印纹、彩绘纹（几何、人物、动物）、浮雕纹、刻划纹、雀刻纹、凹弦纹、凸弦纹、贴饰纹、复合纹样、菱形纹、平行线纹、交叉线纹、网纹、云雷纹、圆圈纹、点纹、附加纹、旋涡纹、锯齿纹、锁口纹、连珠纹、带状纹带等。,,,,,,
,,,,图形语法 Motif Grammar,\,\,多值,,"MG1	：线性/带状语法Linear bands	
MG2	：几何重复语法Geometric repeated	
MG3	：曲线/旋涡语法Curvilinear/spiral	
MG4	：符号/记号语法Symbolic marks	
MG5	：具象图像语法（人/兽/鸟等）Figural	
MG6	：质感铺地语法（篮纹、绳纹、网纹）Texture fields
其他：填入实际值
未知：null",,,,,,,
,,,,纹饰大类 Motif Class,\,\,属性族,,"MC10	：绳拍系Corded/rope-related	
MC11	：编织/篮纹系Basket/weave-related	
MC12	：弦纹/凸起线系String/raised line	
MC13	：刻划线系Incised line patterns	
MC14	：压印几何系Impression patterns	
MC15	：旋涡/旋纹系Spiral/whorl patterns	
MC16	：云雷/回纹系Thunder/cloud meander	
MC17	：点纹/连珠系Dot & bead	
MC18	：锯齿/折线系Zigzag & sawtooth	
MC19	：镂孔/透孔系Openwork/perforation	
MC20	：贴饰/浮雕系Applied/relief	
MC21	：彩绘系Painted motifs	
MC22	：符号纹系Symbolic marks	
MC23：其他
MC24：未知
*分支为单选，填写选中的分支，其他留空",,,,,,,
,,,,,MC10 绳拍系,\,唯一值,,"MTF1001：绳纹Cord-mark pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC11 编织/篮纹系,\,唯一值,,"MTF1101	：篮纹	Basket-impressed pattern
MTF1102	：网纹	Net pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC13 刻划线系（含雀刻）,\,唯一值,,"MTF1301	：刻划纹	Incised pattern
MTF1302	：划纹	Scratched line pattern
MTF1303	：雀刻纹	Notched/incised “sparrow-peck” pattern
MTF1304	：平行线纹	Parallel lines
MTF1305	：交叉线纹	Cross-hatched lines
其他：填入实际值
未知：null",,,,,,,
,,,,,MC14 压印几何系（印纹/拍印）,\,唯一值,,"MTF1401	：印纹	Impressed pattern
MTF1402	：菱形纹	Diamond/lozenge pattern
MTF1403	：圆圈纹	Circle pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC15 旋涡/旋纹系,\,唯一值,,"MTF1501	：旋纹	Spiral pattern
MTF1502	：旋涡纹	Whorl pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC16 云雷/回纹系,\,唯一值,,"MTF1601	：云雷纹	Cloud-and-thunder pattern
MTF1602	：回纹	Meander pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC17 点纹/连珠系,\,唯一值,,"MTF1701	：点纹	Dot pattern
MTF1702	：连珠纹	Bead-chain pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC18 锯齿/折线系,\,唯一值,,"MTF1801	：锯齿纹	Sawtooth pattern
MTF1802	：折线纹/曲折纹（补充）	Zigzag pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC19 镂孔/透孔系,\,唯一值,,"MTF1901	：镂孔纹	Openwork pattern
MTF1902	：镂孔纹（锁口）	Keyhole/openwork “suokou” pattern
其他：填入实际值
未知：null",,,,,,,
,,,,,MC20 贴饰/浮雕系,\,唯一值,,"MTF2001	：贴饰纹	Applied ornament pattern
MTF2002	：浮雕纹	Relief pattern
MTF2003	：附加纹	Added band/added ornament
其他：填入实际值
未知：null",,,,,,,
,,,,,MC21 彩绘系（可加题材参数）,\,唯一值,,"PT1 Geometric（几何）
PT2 Human figure（人物）
PT3 Animal（动物）
其他：填入实际值
未知：null",,,,,,,
,,,,,MC22 符号纹系,\,唯一值,,"MTF2201：符号纹Symbol mark motif
其他：填入实际值
未知：null",,,,,,,
,,,,,MC23 其他,\,文本,,原文描述,,,,,,,
,,,,,MC24 未知,\,文本,,如果没有相关描述即为：无相关内容,,,,,,,
,,,,布局方式,\,\,唯一值,,"LY1	：水平分带Horizontal bands	
LY2	：竖向分区Vertical panels	
LY3	：满铺All-over	
LY4	：分区（口/肩/腹）Zoned (rim/shoulder/body)	
LY5	：中心徽章式Central medallion
其他：填入实际值
未知：null",,,,,,,
,制作者,ProductionActor,记录制造该文物的人或群体。,制作者,\,\,唯一值,,"M1：个体制作者	Individual potter
M2：家庭/作坊单位	Household / Workshop
M3：社群制作者	Community group
M4：专业工匠群体	Specialized craftsmen
M5：区域生产体系	Regional production system
其他：填入实际值
未知：null",,,,,,,
,制作年代,ProductionDate,器物的制作时期；所处的文化时期和文化期别，或朝代及朝代的期别；以及更细节的遗址分期,年代类型（Chronology Type）,\,\,属性族,,"C1：绝对年代 Absolute date
C2：相对年代 Relative date
C3：年代区段 Chronological phase",事物对应的制作时间跨度、绝对年代、相对年代、年代区段、,,,,,,
,,,,,C1：绝对年代 Absolute date,\,文本,,"该期别的绝对年代范围，描述可为“公元xxx；距今xxx”；包括：
date_value	数值（整数）
date_unit BCE / CE / BP
date_calibration Cal / Uncal
date_error ± 年数
如果没有相关描述即为：null","2800 BCE ± 50
4300±40 BP (Cal)
",,,,,,
,,,,,C2：相对年代 Relative date,\,文本,,"文化时期/期别和朝代/朝代期别，是同级别的概念，在夏朝之前没有朝代的命名，可能使用文化指称；夏朝之后用朝代指称，e.g.在夏朝之前的龙山文化，处于新石器时代晚期，用龙山文化指称。填写时可包括下述信息：
ultural_period 考古学文化（e.g. 龙山文化）
phase	期别（e.g. 龙山文化晚期）
如果没有相关描述即为：null","仰韶文化中期
龙山文化晚期
夏朝、商朝",,,,,,
,,,,,C3：年代区段 Chronological phase,\,文本,,"填写遗址分期，遗址分期为人工划定，分期的依据主要是以器物相似性等划分。例如盘龙城遗址有多期，单一期数可能对应不同文化/朝代（C2：相对年代），也可能不一定能找到对应文化/朝代信息。填写时可包括下述信息：
chronological_label，如：“盘龙城一期”
如果没有相关描述即为：null",,,,,,,
,制作地点,ProductionPlace,器物被制造的地点，如窑址或作坊,制作地点类型（Location Type）,\,\,唯一值,,"L1	窑址	Kiln site
L2	作坊	Workshop
L3	居址内生产区	Household production area
L4	综合生产区	Integrated production zone
L5	区域生产中心	Regional production center
L6	其他推定来源区	Inferred source area（需要填写推断值）
L7	不明	Unknown",窑址、作坊、村落生产点、手工业聚落区域性生产中心等,,,,,,
